City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
3421982,Maniitsoq,GL,65.4167,-52.9,34.48,60,8,5.1
2074113,Collie,AU,-33.3667,116.15,55.98,58,100,6.17
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,69.19,76,100,18.86
1062663,Mahajanga,MG,-15.7167,46.3167,69.82,88,20,6.91
3868633,Vallenar,CL,-28.5708,-70.7581,52.36,78,25,4.85
293842,Kiryat Gat,IL,31.61,34.7642,68.41,67,0,3.98
5879400,Anchorage,US,61.2181,-149.9003,47.89,75,90,1.01
172515,Abu Samrah,SY,35.3029,37.1841,63.57,27,0,3.58
2276492,Harper,LR,4.375,-7.7169,76.84,88,100,5.48
1847947,Shingū,JP,33.7333,135.9833,79.79,64,82,4.21
3939470,Huancavelica,PE,-12.7667,-74.9833,39.94,93,99,4.36
2656046,Bedford,GB,52.1346,-0.4663,58.32,97,79,4.72
935214,Saint-Pierre,RE,-21.3393,55.4781,66.34,70,37,9.22
108410,Riyadh,SA,24.6877,46.7219,75.34,38,0,3.74
3386213,Touros,BR,-5.1989,-35.4608,79.7,84,91,11.61
2654970,Brae,GB,60.3964,-1.353,53.51,94,46,13.29
4231997,Avera,US,33.194,-82.5271,70.39,93,5,4.72
5731371,Hillsboro,US,45.5229,-122.9898,54.3,67,1,8.05
3919998,Cobija,BO,-11.0267,-68.7692,79.75,60,96,2.93
1490364,Tabory,RU,58.5198,64.5495,34.65,90,0,7.11
3146487,Raudeberg,NO,61.9875,5.1352,55.87,80,100,7.0
2138522,Poya,NC,-21.35,165.15,79.43,43,1,9.15
2063042,Port Hedland,AU,-20.3167,118.5667,78.85,69,0,6.91
6255012,Flinders,AU,-34.5833,150.8552,71.11,59,65,5.01
5906757,Bow Island,CA,49.8668,-111.3684,48.67,46,0,6.91
2476396,Timizart,DZ,36.8,4.2667,58.89,77,4,5.84
1605277,Trat,TH,12.5,102.5,79.92,91,100,0.47
1788534,Xinyang,CN,32.1228,114.0656,57.7,88,100,8.39
3395458,Maragogi,BR,-9.0122,-35.2225,75.87,82,96,7.63
3355672,Lüderitz,NA,-26.6481,15.1594,55.71,78,0,7.45
2015352,Terney,RU,45.0503,136.6092,61.25,42,3,6.49
2145554,Ulladulla,AU,-35.35,150.4667,65.71,52,25,14.23
3929389,San Miguel de Cauri,PE,-10.1,-76.5833,46.67,88,98,2.93
1218420,Seydi,TM,39.4816,62.9137,52.21,18,100,9.31
3838859,Río Gallegos,AR,-51.6226,-69.2181,42.85,52,0,2.3
5354943,Half Moon Bay,US,37.4636,-122.4286,56.79,75,90,5.75
3373652,Oistins,BB,13.0667,-59.5333,82.49,83,20,24.16
3356264,Keetmanshoop,NA,-26.5833,18.1333,55.76,42,13,5.84
121240,Pāveh,IR,35.0434,46.3565,49.51,58,0,7.23
1244926,Hambantota,LK,6.1241,81.1185,77.34,100,20,4.61
3437443,Pozo Colorado,PY,-23.4923,-58.7972,72.88,78,100,2.68
3576994,Cockburn Town,TC,21.4612,-71.1419,82.8,76,4,17.65
5116602,Endicott,US,42.0984,-76.0494,62.71,85,1,0.0
2537763,Salé,MA,34.0389,-6.8166,65.21,100,90,5.75
1627185,Sijunjung,ID,-0.6876,100.9537,78.19,73,100,0.2
5983720,Iqaluit,CA,63.7506,-68.5145,34.7,93,90,10.0
1045114,Inhambane,MZ,-23.865,35.3833,67.6,67,83,7.2
1712961,Gigmoto,PH,13.7796,124.39,81.19,84,100,7.23
1626542,Sorong,ID,-0.8833,131.25,83.91,75,59,6.67
119115,Qūchān,IR,37.106,58.5095,48.13,90,98,11.43
4406282,Rolla,US,37.9514,-91.7713,61.2,91,1,0.0
2132606,Samarai,PG,-10.6167,150.6667,82.63,77,97,11.68
1650064,Barabai,ID,-2.5833,115.3833,88.74,59,41,0.74
7626405,Skibotn,NO,69.3913,20.2679,35.47,86,93,2.73
2108502,Honiara,SB,-9.4333,159.95,86.81,71,50,9.82
3836669,San Rafael,AR,-34.6177,-68.3301,58.33,31,4,4.76
1855540,Naze,JP,28.3667,129.4833,81.52,66,84,16.64
2527087,Tiznit Province,MA,29.5833,-9.5,65.55,51,3,0.89
3671497,Puerto Colombia,CO,10.9878,-74.9547,84.29,81,43,17.92
6138719,Saint-Marc-des-Carrieres,CA,46.6834,-72.0491,52.79,93,19,1.14
3839982,Punta Alta,AR,-38.8759,-62.0736,50.29,58,0,9.75
2303611,Esim,GH,4.8699,-2.2405,76.1,91,64,1.66
2189343,Kaeo,NZ,-35.1,173.7833,65.73,54,2,9.42
5969025,Haines Junction,CA,60.7522,-137.5108,40.95,75,100,2.3
5847486,Kailua,US,21.4022,-157.7394,81.16,62,75,11.5
2127202,Anadyr,RU,64.75,177.4833,32.0,100,90,13.42
4031574,Provideniya,RU,64.3833,-173.3,37.51,81,75,15.66
2278158,Buchanan,LR,5.8808,-10.0467,77.2,90,87,7.67
2123979,Kuril'sk,RU,45.2333,147.8833,54.23,66,99,5.99
5916706,Carberry,CA,49.8689,-99.3602,59.23,30,100,6.98
4513583,Hamilton,US,39.1834,-84.5333,69.26,93,90,3.44
1803367,Linqing,CN,36.8456,115.7117,58.84,75,97,7.14
3013633,Arrondissement du Havre,FR,49.5833,0.3333,56.64,88,90,4.61
1529660,Aksu,CN,41.1231,80.2644,50.65,31,0,4.61
667507,Secăria,RO,45.2833,25.6833,39.65,71,100,4.99
513883,Otradnyy,RU,53.376,51.3452,37.81,69,0,2.95
3356832,Henties Bay,NA,-22.116,14.2845,52.86,81,0,6.98
3448903,São João da Barra,BR,-21.6403,-41.0511,71.06,88,100,18.48
1642858,Jambi City,ID,-1.6,103.6167,79.2,86,100,3.87
1521153,Mamlyutka,KZ,54.9375,68.5394,35.78,78,14,8.46
124862,Marand,IR,38.4329,45.7749,46.74,77,1,3.09
157429,Kilindoni,TZ,-7.9139,39.6668,78.49,75,51,15.82
1863495,Gushikawa,JP,26.3544,127.8686,83.7,70,75,18.41
5557293,Sitka,US,57.0531,-135.33,48.09,81,90,6.91
4255151,Bud,US,39.447,-86.1758,64.54,97,28,3.49
2738381,Lata,PT,40.1629,-8.3327,58.19,57,13,3.11
103630,Najrān,SA,17.4924,44.1277,75.85,60,92,3.85
5924351,Clyde River,CA,70.4692,-68.5914,30.67,86,100,3.27
3571913,Marsh Harbour,BS,26.5412,-77.0636,82.62,70,77,11.18
2396853,Omboué,GA,-1.5746,9.2618,76.28,86,100,5.95
286621,Salalah,OM,17.0151,54.0924,78.89,94,40,2.3
1274547,Chātakonda,IN,17.55,80.65,78.55,90,37,1.79
1528796,At-Bashi,KG,41.1702,75.8106,38.71,81,79,1.36
4931378,Bristol,US,41.8334,-71.1662,58.35,87,0,1.01
1715335,Davila,PH,18.4726,120.5763,84.18,74,100,3.42
1268008,Kanniyākumāri,IN,8.0833,77.5667,81.03,82,97,14.36
2090021,Namatanai,PG,-3.6667,152.4333,84.09,73,97,0.89
5851349,Nānākuli,US,21.3906,-158.1547,82.89,53,40,8.05
1861280,Itoman,JP,26.1247,127.6694,86.02,70,75,16.11
3579925,St. George's,GD,12.0564,-61.7485,80.28,83,40,6.91
2168305,Dubbo,AU,-32.25,148.6167,71.73,35,35,11.5
4032369,Pangai,TO,-19.8,-174.35,80.71,65,20,5.75
2015306,Tiksi,RU,71.6872,128.8694,26.35,85,100,18.77
3398178,Inhuma,BR,-6.6683,-41.7078,83.3,33,98,1.99
100926,Umluj,SA,25.0213,37.2685,82.62,47,1,11.27
2173911,Broken Hill,AU,-31.95,141.4333,69.51,18,0,5.75
6137462,Saint-Augustin,CA,51.226,-58.6502,41.31,62,17,10.49
1500609,Lesogorsk,RU,56.0458,99.5136,35.28,93,100,10.36
620391,Vawkavysk,BY,53.1561,24.4513,36.05,62,0,7.25
1521315,Līsakovsk,KZ,52.5369,62.4936,37.18,81,10,5.97
3904906,Santa Cruz de la Sierra,BO,-17.8,-63.1667,72.86,64,18,2.3
5197085,Lancaster,US,40.2504,-76.2499,62.44,90,1,0.0
3628473,San Cristobal,VE,7.7669,-72.225,71.78,97,100,2.28
4031637,Lavrentiya,RU,65.5833,-171.0,35.13,99,100,7.27
3985710,Cabo San Lucas,MX,22.8909,-109.9124,87.22,51,1,4.61
2022129,Kichera,RU,55.9375,110.0997,36.77,76,99,4.61
2025256,Chumikan,RU,54.7183,135.315,42.57,56,19,22.53
2439376,Tahoua,NE,14.8888,5.2692,84.74,25,99,5.28
2455290,Kidal,ML,18.4411,1.4078,82.92,15,2,11.05
1486321,Yar-Sale,RU,66.8333,70.8333,43.07,92,100,15.37
2036113,Liaoyang,CN,41.2719,123.1731,58.33,61,0,4.5
2472431,Ben Gardane,TN,33.1378,11.2197,71.83,59,2,10.65
3868626,Valparaíso,CL,-33.0393,-71.6273,57.47,74,75,5.75
2084442,Vanimo,PG,-2.6741,141.3028,87.53,61,12,6.96
